user_id,movie_id,rating,predicted_rating
1,1,4.0,4.72
1,3,4.0,4.23
1,6,4.0,4.82
1,47,5.0,4.71
1,50,5.0,5.0
1,70,3.0,4.31
1,101,5.0,4.16
1,110,4.0,4.77
1,151,5.0,4.3
1,157,5.0,4.35
1,163,5.0,4.32
1,216,5.0,4.41
1,223,3.0,4.59
1,231,5.0,3.96
1,235,4.0,4.51
1,260,5.0,4.99
1,296,3.0,4.86
1,316,3.0,4.16
1,333,5.0,4.5
1,349,4.0,4.57
1,356,4.0,5.0
1,362,5.0,4.39
1,367,4.0,4.06
1,423,3.0,4.37
1,441,4.0,4.43
1,457,5.0,4.73
1,480,4.0,4.53
1,500,3.0,4.22
1,527,5.0,5.0
1,543,4.0,4.21
1,552,4.0,4.31
1,553,5.0,4.45
1,590,4.0,4.5
1,592,4.0,4.27
1,593,4.0,4.9
1,596,5.0,4.35
1,608,5.0,4.97
1,648,3.0,4.46
1,661,5.0,4.21
1,673,3.0,4.11
1,733,4.0,4.59
1,736,3.0,4.11
1,780,3.0,4.23
1,804,4.0,4.27
1,919,5.0,4.43
1,923,5.0,4.43
1,940,5.0,4.3
1,943,4.0,4.33
1,954,5.0,4.34
1,1009,3.0,4.34
1,1023,5.0,4.36
1,1024,5.0,4.44
1,1025,5.0,4.44
1,1029,5.0,4.19
1,1030,3.0,4.37
1,1031,5.0,4.25
1,1032,5.0,4.24
1,1042,4.0,4.4
1,1049,5.0,4.43
1,1060,4.0,4.23
1,1073,5.0,4.57
1,1080,5.0,4.6
1,1089,5.0,4.83
1,1090,4.0,4.33
1,1092,5.0,4.12
1,1097,5.0,4.59
1,1127,4.0,4.38
1,1136,5.0,4.57
1,1196,5.0,4.77
1,1197,5.0,4.88
1,1198,5.0,5.0
1,1206,5.0,4.78
1,1208,4.0,4.64
1,1210,5.0,4.88
1,1213,5.0,4.96
1,1214,4.0,4.63
1,1219,2.0,4.47
1,1220,5.0,4.43
1,1222,5.0,4.8
1,1224,5.0,4.25
1,1226,5.0,4.26
1,1240,5.0,4.59
1,1256,5.0,4.43
1,1258,3.0,4.81
1,1265,4.0,4.56
1,1270,5.0,4.75
1,1275,5.0,4.39
1,1278,5.0,4.51
1,1282,5.0,4.41
1,1291,5.0,4.81
1,1298,5.0,4.35
1,1348,4.0,4.29
1,1377,3.0,4.12
1,1396,3.0,4.47
1,1408,3.0,4.18
1,1445,3.0,4.26
1,1473,4.0,4.25
1,1500,4.0,4.36
1,1517,5.0,4.44
1,1552,4.0,4.13
1,1573,5.0,4.35
1,1580,3.0,4.34
1,1587,5.0,4.25
1,1617,5.0,4.67
1,1620,4.0,4.26
1,1625,5.0,4.5
1,1644,3.0,4.35
1,1676,3.0,4.26
1,1732,5.0,4.68
1,1777,4.0,4.28
1,1793,4.0,4.45
1,1804,5.0,4.33
1,1805,4.0,4.1
1,1920,4.0,4.27
1,1927,5.0,4.38
1,1954,5.0,4.47
1,1967,4.0,4.43
1,2000,4.0,4.32
1,2005,5.0,4.4
1,2012,4.0,4.32
1,2018,5.0,4.38
1,2028,4.0,4.78
1,2033,5.0,4.39
1,2046,4.0,4.39
1,2048,5.0,4.32
1,2054,4.0,3.89
1,2058,5.0,4.31
1,2078,5.0,4.52
1,2090,5.0,4.3
1,2093,3.0,4.3
1,2094,5.0,4.41
1,2096,4.0,4.26
1,2099,4.0,4.29
1,2105,4.0,4.3
1,2115,5.0,4.33
1,2116,5.0,4.23
1,2137,5.0,4.36
1,2139,5.0,4.31
1,2141,5.0,4.17
1,2143,4.0,4.32
1,2161,5.0,4.36
1,2174,4.0,4.12
1,2193,4.0,4.21
1,2253,2.0,4.11
1,2268,4.0,4.38
1,2273,4.0,4.25
1,2291,5.0,4.5
1,2329,5.0,5.0
1,2338,2.0,4.05
1,2353,5.0,4.4
1,2366,4.0,4.33
1,2387,5.0,4.17
1,2389,2.0,4.11
1,2395,5.0,4.23
1,2406,4.0,4.36
1,2414,3.0,4.24
1,2427,5.0,4.18
1,2450,4.0,4.34
1,2459,5.0,4.21
1,2470,5.0,4.09
1,2478,4.0,4.32
1,2492,4.0,4.25
1,2502,5.0,4.69
1,2528,3.0,4.3
1,2529,5.0,4.45
1,2542,5.0,4.52
1,2571,5.0,4.92
1,2580,5.0,4.42
1,2596,5.0,4.25
1,2616,4.0,4.28
1,2617,2.0,3.98
1,2628,4.0,3.93
1,2640,4.0,4.5
1,2641,5.0,4.14
1,2644,4.0,4.35
1,2648,4.0,4.22
1,2654,5.0,4.28
1,2657,3.0,4.18
1,2692,5.0,4.55
1,2700,5.0,4.5
1,2716,5.0,4.38
1,2761,5.0,4.26
1,2797,4.0,4.47
1,2826,4.0,4.21
1,2858,5.0,4.76
1,2872,5.0,4.29
